person, 1081, 641, 2321, 4913
car, 369, 905, 4621, 2921
dog, 317, 509, 1577, 2277
cat, 289, 713, 4305, 3577
cell phone, 1233, 1729, 2177, 3617
keyboard, 6, 41, 494, 289
apple, 1393, 1728, 3129, 3552
bottle, 1425, 2113, 2121, 4617
cup, 913, 3585, 2369, 5001
mouse, 36, 84, 453, 441
botor bike, 449, 921, 4413, 3097
fork, 25, 1709, 1961, 2227
chair, 1113, 2505, 2457, 4161
donut, 1201, 385, 4377, 3385
sofa, 365, 1173, 3801, 2761
remote, 182, 5, 318, 495
clock, 1893, 1285, 2653, 2085
bird, 737, 30, 1803, 1324
suitcase, 249, 1169, 3441, 5825
scissors, 865, 929, 2529, 4201
